                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5081,                 2.0922,                 1.8374,                0.85703,                0.90307,                 0.9068,                0.67518,                 1.9224,                 2.4784,                 2.0988,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.4437,                 2.0178,                 1.8139,                0.84082,                0.90863,                0.91727,                0.68266,                   1.87,                 2.4539,                 2.0888,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.4646,                 2.0916,                 1.8327,                0.87145,                0.91667,                0.91727,                0.68926,                 1.8671,                 2.4055,                 2.0855,               0.000359,               0.000359,               0.000359
                     38,                 1.4069,                 1.9598,                  1.784,                0.90242,                0.86294,                0.92551,                0.69056,                 1.8929,                 2.3835,                 2.0932,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.4902,                 2.1055,                 1.8553,                0.93701,                0.84749,                0.93163,                0.69176,                  1.871,                 2.4332,                 2.0843,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.4322,                 1.8869,                  1.781,                0.94219,                0.86503,                0.92227,                0.67968,                 1.8675,                  2.376,                  2.077,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.3571,                 2.6449,                 1.7615,                0.93878,                0.87625,                0.92455,                0.67444,                  1.867,                 2.3698,                 2.0829,                0.00026,                0.00026,                0.00026
                     42,                 1.3354,                 2.5646,                 1.7679,                0.92846,                 0.9028,                0.93022,                0.67774,                 1.8702,                 2.4069,                 2.0856,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.3642,                 2.6198,                 1.8122,                0.86784,                0.87181,                0.91905,                0.69254,                 1.8698,                 2.4175,                 2.0412,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.3982,                 2.6415,                 1.8259,                0.96988,                 0.7984,                0.91715,                0.68051,                  1.861,                 2.3627,                 2.0453,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.3307,                 2.5007,                 1.7325,                0.88471,                0.84619,                0.91561,                 0.6775,                 1.8709,                 2.3493,                 2.0671,               0.000161,               0.000161,               0.000161
                     46,                 1.3261,                 2.4676,                 1.7491,                0.88849,                0.85253,                0.91304,                0.67777,                 1.9173,                 2.3439,                 2.1231,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.2783,                  2.444,                 1.7192,                0.86087,                0.84785,                0.91237,                0.67108,                 1.9209,                 2.3445,                 2.1346,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.3002,                  2.427,                 1.7658,                0.83964,                0.86987,                0.91898,                0.68893,                 1.8919,                 2.3211,                  2.097,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 1.2544,                  2.408,                 1.7397,                0.96332,                 0.7798,                0.91897,                0.69168,                 1.8815,                 2.3026,                 2.0872,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                  1.259,                 2.3726,                 1.7312,                0.86301,                0.85414,                0.91714,                0.69693,                 1.8603,                 2.2864,                 2.0747,              3.725e-05,              3.725e-05,              3.725e-05
